tx_date,file_date,last_name,first_name,order_type,ticker,asset_name,tx_amount
"
                                        01/05/2022
                                    ",02/14/2022,Tuberville,Thomas H,Sale (Full),"
INTC
","
                                        
                                            Intel Corporation - Common Stock
                                        
                                        
                                        
                                            Option Type: Short Sale Strike price: $52.50
                                                
Expires: 09/16/2022
                                            
","$1,001 - $15,000"
"
                                        01/24/2022
                                    ",02/14/2022,Tuberville,Thomas H,Purchase,"
GOLD
","
                                        
                                            Barrick Gold Corporation Common Stock (BC)
                                        
                                        
                                        
                                    ","$50,001 - $100,000"
"
                                        01/14/2022
                                    ",02/14/2022,Tuberville,Thomas H,Purchase,"
BABA
","
                                        
                                            Alibaba Group Holding Limited American Depositary
                                        
                                        
                                        
                                            Option Type: Put Strike price: $245.00
                                                
Expires: 01/21/2022
                                            
","$15,001 - $50,000"
"
                                        01/14/2022
                                    ",02/14/2022,Tuberville,Thomas H,Sale (Full),"
QCOM
","
                                        
                                            QUALCOMM Incorporated - Common Stock
                                        
                                        
                                        
                                            Option Type: Short Sale Strike price: $170.00
                                                
Expires: 07/15/2022
                                            
","$15,001 - $50,000"
"
                                        01/14/2022
                                    ",02/14/2022,Tuberville,Thomas H,Purchase,"
BABA
","
                                        
                                            Alibaba Group Holding Limited American Depositary
                                        
                                        
                                        
                                            Option Type: Put Strike price: $230.00
                                                
Expires: 09/16/2022
                                            
","$15,001 - $50,000"
"
                                        01/14/2022
                                    ",02/14/2022,Tuberville,Thomas H,Purchase,"
BABA
","
                                        
                                            Alibaba Group Holding Limited American Depositary
                                        
                                        
                                        
                                            Option Type: Put Strike price: $230.00
                                                
Expires: 09/16/2022
                                            
","$50,001 - $100,000"
"
                                        01/14/2022
                                    ",02/14/2022,Tuberville,Thomas H,Sale (Full),"
QCOM
","
                                        
                                            QUALCOMM Incorporated - Common Stock
                                        
                                        
                                        
                                            Option Type: Short Sale Strike price: $165.00
                                                
Expires: 01/20/2023
                                            
","$15,001 - $50,000"
"
                                        01/14/2022
                                    ",02/14/2022,Tuberville,Thomas H,Sale (Full),"
CLF
","
                                        
                                            Cleveland-Cliffs Inc. Common Stock
                                        
                                        
                                        
                                            Option Type: Call Strike price: $23.00
                                                
Expires: 07/15/2022
                                            
","$1,001 - $15,000"
"
                                        01/14/2022
                                    ",02/14/2022,Tuberville,Thomas H,Purchase,"
CLF
","
                                        
                                            Cleveland-Cliffs Inc. Common Stock
                                        
                                        
                                        
                                            Option Type: Call Strike price: $23.00
                                                
Expires: 01/21/2022
                                            
","$1,001 - $15,000"
"
                                        01/13/2022
                                    ",02/14/2022,Tuberville,Thomas H,Sale (Full),"
X
","
                                        
                                            United States Steel Corporation Common Stock
                                        
                                        
                                        
                                            Option Type: Short Sale Strike price: $25.00
                                                
Expires: 06/17/2022
                                            
","$15,001 - $50,000"
"
                                        01/12/2022
                                    ",02/14/2022,Tuberville,Thomas H,Purchase,"
INTC
","
                                        
                                            Intel Corporation - Common Stock
                                        
                                        
                                        
                                            Option Type: Short Sale Strike price: $55.00
                                                
Expires: 01/20/2023
                                            
","$15,001 - $50,000"
"
                                        01/12/2022
                                    ",02/14/2022,Tuberville,Thomas H,Purchase,"
WBA
","
                                        
                                            Walgreens Boots Alliance, Inc. - Common Stock
                                        
                                        
                                        
                                    ","$1,001 - $15,000"
"
                                        01/12/2022
                                    ",02/14/2022,Tuberville,Thomas H,Purchase,"
VZ
","
                                        
                                            Verizon Communications Inc. Common Stock
                                        
                                        
                                        
                                    ","$1,001 - $15,000"
"
                                        01/12/2022
                                    ",02/14/2022,Tuberville,Thomas H,Purchase,"
MMM
","
                                        
                                            3M Company Common Stock
                                        
                                        
                                        
                                    ","$1,001 - $15,000"
"
                                        01/12/2022
                                    ",02/14/2022,Tuberville,Thomas H,Purchase,"
PFE
","
                                        
                                            Pfizer, Inc. Common Stock
                                        
                                        
                                        
                                    ","$1,001 - $15,000"
"
                                        01/12/2022
                                    ",02/14/2022,Tuberville,Thomas H,Purchase,"
IBM
","
                                        
                                            International Business Machines Corporat
                                        
                                        
                                        
                                    ","$1,001 - $15,000"
"
                                        01/12/2022
                                    ",02/14/2022,Tuberville,Thomas H,Purchase,"
INTC
","
                                        
                                            Intel Corporation - Common Stock
                                        
                                        
                                        
                                    ","$1,001 - $15,000"
"
                                        01/12/2022
                                    ",02/14/2022,Tuberville,Thomas H,Purchase,"
KO
","
                                        
                                            Coca-Cola Company (The) Common Stock
                                        
                                        
                                        
                                    ","$1,001 - $15,000"
"
                                        01/12/2022
                                    ",02/14/2022,Tuberville,Thomas H,Purchase,"
CSCO
","
                                        
                                            Cisco Systems, Inc. - Common Stock
                                        
                                        
                                        
                                    ","$1,001 - $15,000"
"
                                        01/12/2022
                                    ",02/14/2022,Tuberville,Thomas H,Purchase,"
CVX
","
                                        
                                            Chevron Corporation Common Stock
                                        
                                        
                                        
                                    ","$1,001 - $15,000"
"
                                        01/12/2022
                                    ",02/14/2022,Tuberville,Thomas H,Purchase,"
DOW
","
                                        
                                            Dow Inc. Common Stock
                                        
                                        
                                        
                                    ","$1,001 - $15,000"
"
                                        01/12/2022
                                    ",02/14/2022,Tuberville,Thomas H,Purchase,"
AMGN
","
                                        
                                            Amgen Inc. - Common Stock
                                        
                                        
                                        
                                    ","$1,001 - $15,000"
"
                                        01/05/2022
                                    ",02/14/2022,Tuberville,Thomas H,Sale (Full),"
INTC
","
                                        
                                            Intel Corporation - Common Stock
                                        
                                        
                                        
                                            Option Type: Short Sale Strike price: $52.50
                                                
Expires: 09/16/2022
                                            
","$1,001 - $15,000"
"
                                        01/04/2022
                                    ",02/14/2022,Tuberville,Thomas H,Sale (Full),"
CLF
","
                                        
                                            Cleveland-Cliffs Inc. Common Stock
                                        
                                        
                                        
                                            Option Type: Short Sale Strike price: $22.00
                                                
Expires: 07/15/2022
                                            
","$1,001 - $15,000"
"
                                        01/03/2022
                                    ",02/14/2022,Tuberville,Thomas H,Sale (Full),"
SSYS
","
                                        
                                            Stratasys, Ltd. - Common Stock
                                        
                                        
                                        
                                            Option Type: Short Sale Strike price: $25.00
                                                
Expires: 06/17/2022
                                            
","$1,001 - $15,000"
"
                                        01/03/2022
                                    ",02/14/2022,Tuberville,Thomas H,Sale (Full),"
SSYS
","
                                        
                                            Stratasys, Ltd. - Common Stock
                                        
                                        
                                        
                                            Option Type: Short Sale Strike price: $25.00
                                                
Expires: 06/17/2022
                                            
","$1,001 - $15,000"
"
                                        01/03/2022
                                    ",02/14/2022,Tuberville,Thomas H,Sale (Full),"
SSYS
","
                                        
                                            Stratasys, Ltd. - Common Stock
                                        
                                        
                                        
                                            Option Type: Short Sale Strike price: $25.00
                                                
Expires: 06/17/2022
                                            
","$1,001 - $15,000"
"
                                        01/03/2022
                                    ",02/14/2022,Tuberville,Thomas H,Sale (Full),"
SSYS
","
                                        
                                            Stratasys, Ltd. - Common Stock
                                        
                                        
                                        
                                            Option Type: Short Sale Strike price: $25.00
                                                
Expires: 06/17/2022
                                            
","$1,001 - $15,000"
"
                                        01/21/2022
                                    ",02/14/2022,Tuberville,Thomas H,Sale (Full),"
DUK
","
                                        
                                            Duke Energy Corporation (Holding Company) Common S
                                        
                                        
                                        
                                    ","$15,001 - $50,000"
"
                                        01/21/2022
                                    ",02/14/2022,Tuberville,Thomas H,Sale (Full),"
MDT
","
                                        
                                            Medtronic plc. Ordinary Shares
                                        
                                        
                                        
                                    ","$15,001 - $50,000"
