tx_date,file_date,last_name,first_name,order_type,ticker,asset_name,tx_amount
"
                                        10/23/2015
                                    ",11/25/2015,Whitehouse,Sheldon,Sale (Partial),"
                                        
                                            --
                                        
                                        
                                    ","
                                        
                                            VFC
                                        
                                        
                                        
                                    ","$15,001 - $50,000"
"
                                        10/19/2015
                                    ",11/25/2015,Whitehouse,Sheldon,Purchase,"
                                        
                                            --
                                        
                                        
                                    ","
                                        
                                            M
                                        
                                        
                                        
                                    ","$1,001 - $15,000"
"
                                        10/19/2015
                                    ",11/25/2015,Whitehouse,Sheldon,Sale (Full),"
                                        
                                            --
                                        
                                        
                                    ","
                                        
                                            YUM
                                        
                                        
                                        
                                    ","$15,001 - $50,000"
"
                                        10/19/2015
                                    ",11/25/2015,Whitehouse,Sheldon,Purchase,"
                                        
                                            --
                                        
                                        
                                    ","
                                        
                                            NFLX
                                        
                                        
                                        
                                    ","$1,001 - $15,000"
"
                                        10/23/2015
                                    ",11/25/2015,Whitehouse,Sheldon,Purchase,"
                                        
                                            --
                                        
                                        
                                    ","
                                        
                                            DIS 
                                        
                                        
                                        
                                    ","$1,001 - $15,000"
"
                                        10/23/2015
                                    ",11/25/2015,Whitehouse,Sheldon,Sale (Partial),"
                                        
                                            --
                                        
                                        
                                    ","
                                        
                                            MMC
                                        
                                        
                                        
                                    ","$1,001 - $15,000"
"
                                        10/19/2015
                                    ",11/25/2015,Whitehouse,Sheldon,Purchase,"
                                        
                                            --
                                        
                                        
                                    ","
                                        
                                            GILD
                                        
                                        
                                        
                                    ","$1,001 - $15,000"
"
                                        10/19/2015
                                    ",11/25/2015,Whitehouse,Sheldon,Sale (Full),"
                                        
                                            --
                                        
                                        
                                    ","
                                        
                                            ORCL
                                        
                                        
                                        
                                    ","$1,001 - $15,000"
"
                                        10/19/2015
                                    ",11/25/2015,Whitehouse,Sheldon,Sale (Partial),"
                                        
                                            --
                                        
                                        
                                    ","
                                        
                                            STT
                                        
                                        
                                        
                                    ","$1,001 - $15,000"
"
                                        10/19/2015
                                    ",11/25/2015,Whitehouse,Sheldon,Purchase,"
                                        
                                            --
                                        
                                        
                                    ","
                                        
                                            NFLX
                                        
                                        
                                        
                                    ","$1,001 - $15,000"
"
                                        10/23/2015
                                    ",11/25/2015,Whitehouse,Sheldon,Sale (Full),"
                                        
                                            --
                                        
                                        
                                    ","
                                        
                                            YHOO
                                        
                                        
                                        
                                    ","$15,001 - $50,000"
"
                                        10/23/2015
                                    ",11/25/2015,Whitehouse,Sheldon,Sale (Full),"
                                        
                                            --
                                        
                                        
                                    ","
                                        
                                            FEYE
                                        
                                        
                                        
                                    ","$1,001 - $15,000"
"
                                        10/23/2015
                                    ",11/25/2015,Whitehouse,Sheldon,Sale (Partial),"
                                        
                                            --
                                        
                                        
                                    ","
                                        
                                            VFC
                                        
                                        
                                        
                                    ","$15,001 - $50,000"
"
                                        11/09/2015
                                    ",11/25/2015,Whitehouse,Sheldon,Purchase,"
                                        
                                            --
                                        
                                        
                                    ","
                                        
                                            MMM
                                        
                                        
                                        
                                    ","$15,001 - $50,000"
"
                                        11/09/2015
                                    ",11/25/2015,Whitehouse,Sheldon,Purchase,"
                                        
                                            --
                                        
                                        
                                    ","
                                        
                                            FB
                                        
                                        
                                        
                                    ","$1,001 - $15,000"
