tx_date,file_date,last_name,first_name,order_type,ticker,asset_name,tx_amount
"
                                        12/30/2016
                                    ",05/10/2017,Collins,Susan M,Sale (Full),"
                                        
                                            --
                                        
                                        
                                    ","
                                        
                                            PRGO-Perrigo Company plc
                                        
                                        
                                        
                                    ","$15,001 - $50,000"
"
                                        12/16/2016
                                    ",05/10/2017,Collins,Susan M,Sale (Full),"
ESRX
","
                                        
                                            Express Scripts Holding Company
                                        
                                        
                                        
                                    ","$1,001 - $15,000"
"
                                        12/01/2016
                                    ",05/10/2017,Collins,Susan M,Sale (Full),"
VZ
","
                                        
                                            Verizon Communications Inc.
                                        
                                        
                                        
                                    ","$1,001 - $15,000"
"
                                        12/01/2016
                                    ",05/10/2017,Collins,Susan M,Sale (Full),"
SRCL
","
                                        
                                            Stericycle, Inc.
                                        
                                        
                                        
                                    ","$15,001 - $50,000"
"
                                        12/01/2016
                                    ",05/10/2017,Collins,Susan M,Sale (Partial),"
GOOG
","
                                        
                                            Alphabet Inc.
                                        
                                        
                                        
                                    ","$1,001 - $15,000"
"
                                        12/30/2016
                                    ",05/10/2017,Collins,Susan M,Purchase,"
COP
","
                                        
                                            ConocoPhillips
                                        
                                        
                                        
                                    ","$15,001 - $50,000"
"
                                        12/01/2016
                                    ",05/10/2017,Collins,Susan M,Purchase,"
TSCO
","
                                        
                                            Tractor Supply Company
                                        
                                        
                                        
                                    ","$15,001 - $50,000"
"
                                        12/01/2016
                                    ",05/10/2017,Collins,Susan M,Purchase,"
TMK
","
                                        
                                            Torchmark Corporation
                                        
                                        
                                        
                                    ","$1,001 - $15,000"
"
                                        12/01/2016
                                    ",05/10/2017,Collins,Susan M,Purchase,"
MTD
","
                                        
                                            Mettler-Toledo International Inc.
                                        
                                        
                                        
                                    ","$1,001 - $15,000"
"
                                        12/01/2016
                                    ",05/10/2017,Collins,Susan M,Purchase,"
HOLX
","
                                        
                                            Hologic, Inc.
                                        
                                        
                                        
                                    ","$15,001 - $50,000"
"
                                        12/01/2016
                                    ",05/10/2017,Collins,Susan M,Purchase,"
AWK
","
                                        
                                            American Water Works Company, Inc.
                                        
                                        
                                        
                                    ","$15,001 - $50,000"
"
                                        05/05/2017
                                    ",05/10/2017,Reed,John F,Sale (Full),"
NXPI
","
                                        
                                            NXP Semiconductors N.V.
                                        
                                        
                                        
                                    ","$1,001 - $15,000"
"
                                        05/05/2017
                                    ",05/10/2017,Reed,John F,Sale (Full),"
NXPI
","
                                        
                                            NXP Semiconductors N.V.
                                        
                                        
                                        
                                    ","$1,001 - $15,000"
"
                                        09/07/2016
                                    ",05/10/2017,Reed,John F,Exchange,"
DVMT
","
                                        
                                            Dell Technologies Inc.
                                        
                                        
                                        
                                    ","$1,001 - $15,000"
"
                                        04/05/2017
                                    ",05/10/2017,Whitehouse,Sheldon,Purchase,"
QCOM
","
                                        
                                            QUALCOMM Incorporated
                                        
                                        
                                        
                                    ","$1,001 - $15,000"
"
                                        04/05/2017
                                    ",05/10/2017,Whitehouse,Sheldon,Purchase,"
DISH
","
                                        
                                            DISH Network Corporation
                                        
                                        
                                        
                                    ","$1,001 - $15,000"
"
                                        04/05/2017
                                    ",05/10/2017,Whitehouse,Sheldon,Purchase,"
QCOM
","
                                        
                                            QUALCOMM Incorporated
                                        
                                        
                                        
                                    ","$1,001 - $15,000"
"
                                        04/05/2017
                                    ",05/10/2017,Whitehouse,Sheldon,Sale (Full),"
LB
","
                                        
                                            L Brands, Inc.
                                        
                                        
                                        
                                    ","$15,001 - $50,000"
"
                                        04/05/2017
                                    ",05/10/2017,Whitehouse,Sheldon,Purchase,"
WPC
","
                                        
                                            W. P. Carey Inc.
                                        
                                        
                                        
                                    ","$1,001 - $15,000"
"
                                        04/05/2017
                                    ",05/10/2017,Whitehouse,Sheldon,Purchase,"
USB
","
                                        
                                            U.S. Bancorp
                                        
                                        
                                        
                                    ","$1,001 - $15,000"
"
                                        04/05/2017
                                    ",05/10/2017,Whitehouse,Sheldon,Sale (Full),"
LB
","
                                        
                                            L Brands, Inc.
                                        
                                        
                                        
                                    ","$1,001 - $15,000"
"
                                        04/05/2017
                                    ",05/10/2017,Whitehouse,Sheldon,Purchase,"
AMGN
","
                                        
                                            Amgen Inc.
                                        
                                        
                                        
                                    ","$1,001 - $15,000"
"
                                        04/05/2017
                                    ",05/10/2017,Whitehouse,Sheldon,Purchase,"
IBM
","
                                        
                                            International Business Machines Corporation
                                        
                                        
                                        
                                    ","$1,001 - $15,000"
