tx_date,file_date,last_name,first_name,order_type,ticker,asset_name,tx_amount
"
                                        08/01/2022
                                    ",09/15/2022,Tuberville,Thomas H,Sale (Full),"
IVV
","
                                        
                                            iShares Core S&P 500 ETF
                                        
                                        
                                        
                                    ","$15,001 - $50,000"
"
                                        08/01/2022
                                    ",09/15/2022,Tuberville,Thomas H,Sale (Full),"
EFAV
","
                                        
                                            iShares MSCI EAFE Min Vol Factor ETF
                                        
                                        
                                        
                                    ","$15,001 - $50,000"
"
                                        08/01/2022
                                    ",09/15/2022,Tuberville,Thomas H,Sale (Full),"
XLY
","
                                        
                                            SPDR Select Sector Fund - Consumer Discretionary
                                        
                                        
                                        
                                    ","$15,001 - $50,000"
"
                                        08/01/2022
                                    ",09/15/2022,Tuberville,Thomas H,Sale (Full),"
VTRS
","
                                        
                                            Viatris Inc. - Common Stock
                                        
                                        
                                        
                                    ","$1,001 - $15,000"
"
                                        08/01/2022
                                    ",09/15/2022,Tuberville,Thomas H,Purchase,"
ABNFX
","
                                        
                                            The Bond Fd of America Class F-2 Shares
                                        
                                        
                                        
                                    ","$15,001 - $50,000"
"
                                        08/01/2022
                                    ",09/15/2022,Tuberville,Thomas H,Purchase,"
RSP
","
                                        
                                            Invesco S&P 500 Equal Weight ETF
                                        
                                        
                                        
                                    ","$15,001 - $50,000"
"
                                        08/01/2022
                                    ",09/15/2022,Tuberville,Thomas H,Purchase,"
IDV
","
                                        
                                            iShares International Select Dividend ETF
                                        
                                        
                                        
                                    ","$15,001 - $50,000"
"
                                        08/01/2022
                                    ",09/15/2022,Tuberville,Thomas H,Purchase,"
DHS
","
                                        
                                            Wisdomtree U.S. High Dividend Fund
                                        
                                        
                                        
                                    ","$15,001 - $50,000"
"
                                        08/01/2022
                                    ",09/15/2022,Tuberville,Thomas H,Sale (Full),"
PCNNX
","
                                        
                                            Pimco Investment Grade Credit Bond Fund Class I-
                                        
                                        
                                        
                                    ","$15,001 - $50,000"
"
                                        08/01/2022
                                    ",09/15/2022,Tuberville,Thomas H,Sale (Full),"
JHCBX
","
                                        
                                            John Hancock Bond Fund Cl C
                                        
                                        
                                        
                                    ","$15,001 - $50,000"
"
                                        08/01/2022
                                    ",09/15/2022,Tuberville,Thomas H,Sale (Full),"
ORCL
","
                                        
                                            Oracle Corporation Common Stock
                                        
                                        
                                        
                                    ","$1,001 - $15,000"
"
                                        08/01/2022
                                    ",09/15/2022,Tuberville,Thomas H,Sale (Full),"
XLC
","
                                        
                                            The Communication Services Select Sector SPDR Fund
                                        
                                        
                                        
                                    ","$15,001 - $50,000"
"
                                        08/01/2022
                                    ",09/15/2022,Tuberville,Thomas H,Sale (Full),"
TSCO
","
                                        
                                            Tractor Supply Company - Common Stock
                                        
                                        
                                        
                                    ","$1,001 - $15,000"
"
                                        08/01/2022
                                    ",09/15/2022,Tuberville,Thomas H,Purchase,"
MUB
","
                                        
                                            iShares National Muni Bond ETF
                                        
                                        
                                        
                                    ","$50,001 - $100,000"
"
                                        08/01/2022
                                    ",09/15/2022,Tuberville,Thomas H,Purchase,"
OC
","
                                        
                                            Owens Corning Inc Common Stock New
                                        
                                        
                                        
                                    ","$15,001 - $50,000"
"
                                        08/26/2022
                                    ",09/15/2022,Tuberville,Thomas H,Sale (Full),"
SSYS
","
                                        
                                            Stratasys, Ltd. - Common Stock
                                        
                                        
                                        
                                    ","$50,001 - $100,000"
"
                                        08/25/2022
                                    ",09/15/2022,Tuberville,Thomas H,Purchase,"
ARKK
","
                                        
                                            Ark Innovation ETF
                                        
                                        
                                        
                                    ","$50,001 - $100,000"
"
                                        08/18/2022
                                    ",09/15/2022,Tuberville,Thomas H,Purchase,"
MRO
","
                                        
                                            Marathon Oil Corporation Common Stock
                                        
                                        
                                        
                                            Option Type: Put Strike price: $20.00
                                                
Expires: 09/16/2022
                                            
","$1,001 - $15,000"
"
                                        08/12/2022
                                    ",09/15/2022,Tuberville,Thomas H,Purchase,"
X
","
                                        
                                            United States Steel Corporation Common Stock
                                        
                                        
                                        
                                            Option Type: Put Strike price: $20.00
                                                
Expires: 09/16/2022
                                            
","$1,001 - $15,000"
"
                                        08/11/2022
                                    ",09/15/2022,Tuberville,Thomas H,Sale (Partial),"
                                        
                                            --
                                        
                                        
                                    ","
                                        
                                            PayPal Holdings, Inc. - Common Stock
                                        
                                        
                                        
                                    ","$100,001 - $250,000"
"
                                        08/05/2022
                                    ",09/15/2022,Tuberville,Thomas H,Purchase,"
INTC
","
                                        
                                            Intel Corporation - Common Stock
                                        
                                        
                                        
                                    ","$1,001 - $15,000"
"
                                        08/05/2022
                                    ",09/15/2022,Tuberville,Thomas H,Purchase,"
INTC
","
                                        
                                            Intel Corporation - Common Stock
                                        
                                        
                                        
                                    ","$100,001 - $250,000"
"
                                        08/03/2022
                                    ",09/15/2022,Tuberville,Thomas H,Sale (Full),"
CLF
","
                                        
                                            Cleveland-Cliffs Inc. Common Stock
                                        
                                        
                                        
                                            Option Type: Short Sale Strike price: $22.00
                                                
Expires: 06/16/2023
                                            
","$1,001 - $15,000"
"
                                        08/03/2022
                                    ",09/15/2022,Tuberville,Thomas H,Sale (Full),"
PYPL
","
                                        
                                            PayPal Holdings, Inc. - Common Stock
                                        
                                        
                                        
                                            Option Type: Short Sale Strike price: $125.00
                                                
Expires: 06/16/2023
                                            
","$15,001 - $50,000"
