tx_date,file_date,last_name,first_name,order_type,ticker,asset_name,tx_amount
"
                                        08/27/2020
                                    ",08/30/2020,Roberts,Pat,Sale (Full),"
AAPL
","
                                        
                                            Apple Inc.
                                        
                                        
                                        
                                    ","$50,001 - $100,000"
"
                                        08/05/2020
                                    ",08/30/2020,Roberts,Pat,Purchase,"
BA
","
                                        
                                            The Boeing Company
                                        
                                        
                                        
                                    ","$15,001 - $50,000"
"
                                        08/19/2020
                                    ",08/30/2020,Roberts,Pat,Purchase,"
WMT
","
                                        
                                            Walmart Inc.
                                        
                                        
                                        
                                    ","$1,001 - $15,000"
"
                                        08/18/2020
                                    ",08/30/2020,Roberts,Pat,Purchase,"
GOLD
","
                                        
                                            Barrick Gold Corporation
                                        
                                        
                                        
                                    ","$1,001 - $15,000"
"
                                        08/18/2020
                                    ",08/30/2020,Roberts,Pat,Purchase,"
BBY
","
                                        
                                            Best Buy Co., Inc.
                                        
                                        
                                        
                                    ","$1,001 - $15,000"
"
                                        08/18/2020
                                    ",08/30/2020,Roberts,Pat,Purchase,"
GLD
","
                                        
                                            SPDR Gold Shares
                                        
                                        
                                        
                                    ","$15,001 - $50,000"
"
                                        08/17/2020
                                    ",08/30/2020,Roberts,Pat,Purchase,"
NVAX
","
                                        
                                            Novavax, Inc.
                                        
                                        
                                        
                                    ","$1,001 - $15,000"
"
                                        08/27/2020
                                    ",08/30/2020,Roberts,Pat,Sale (Full),"
AAPL
","
                                        
                                            Apple Inc.
                                        
                                        
                                        
                                    ","$50,001 - $100,000"
"
                                        08/03/2020
                                    ",08/30/2020,Roberts,Pat,Purchase,"
TSLA
","
                                        
                                            Tesla, Inc.
                                        
                                        
                                        
                                    ","$50,001 - $100,000"
"
                                        08/03/2020
                                    ",08/30/2020,Roberts,Pat,Purchase,"
AAPL
","
                                        
                                            Apple Inc.
                                        
                                        
                                        
                                    ","$50,001 - $100,000"
"
                                        07/31/2020
                                    ",08/30/2020,Roberts,Pat,Sale (Full),"
AAPL
","
                                        
                                            Apple Inc.
                                        
                                        
                                        
                                    ","$50,001 - $100,000"
